,fund_name,fund_category,category_return_2009,fund_return_2008,category_return_2008,fund_return_2007,category_return_2007,fund_return_2006,category_return_2006,fund_return_2005,category_return_2005,fund_return_2004,category_return_2004,fund_return_2003,category_return_2003,fund_return_2002,category_return_2002,fund_return_2001,category_return_2001,fund_return_2000,category_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
1276,American Century Strategic Allo,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,Invesco Summit Fund Class Y,Trading--Leveraged Equity,0.6239,0.0,-0.68494,0.0,0.11247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,4.06,6.16,61.1,96.56,0.75,2.7,-3.07,4.04,5.34,56.39,80.84,0.78,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,Alger Weatherbie Specialized Gr,Natural Resources,0.60487,0.0,-0.46215,0.0,0.32767,0.0,0.14892,0.0,0.35228,0.0,0.31397,0.0,0.33469,0.0,-0.07207,0.0,-0.15082,0.0,0.24303,-10.34,1.45,0.94,74.72,30.11,0.33,4.08,-10.38,1.39,0.81,68.85,24.41,0.35,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279,Alger Spectra Fund Class C,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,Astor Sector Allocation Fund Cl,Ultrashort Bond,0.0,0.0,0.01688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.21,0.17,8.36,2.52,0.33,3.84,0.41,0.15,0.15,6.32,1.94,0.36,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,Alger Spectra Fund Class I,Consumer Cyclical,0.4642,0.0,-0.39004,0.0,-0.10166,0.0,0.17716,0.0,-0.04359,0.0,0.11649,0.0,0.35013,0.0,-0.21731,0.0,0.06849,0.0,-0.16587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282,Alger Spectra Fund Class Y,Real Estate,0.24802,0.0,-0.43154,0.0,-0.11403,0.0,0.33869,0.0,0.15219,0.0,0.30096,0.0,0.40195,0.0,0.0297,0.0,0.10876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,"The Alger Fds II, Alger Spectra",Multisector Bond,0.04504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.79,0.51,13.01,7.47,0.66,6.04,2.4,0.74,0.41,15.4,5.97,0.63,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,American Century Small Company ,Infrastructure,0.17684,0.0,-0.35299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.78,0.93,85.56,15.17,0.65,11.81,-3.43,0.78,0.7,80.36,12.74,0.57,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,American Century Small Company ,India Equity,0.96477,0.0,-0.65619,0.0,0.7204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,1.12,0.94,56.2,26.25,0.38,6.09,-0.15,1.05,1.0,52.47,21.25,0.51,8.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,American Century Small Company ,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.28,0.75,-0.34,19.96,29.41,-0.18,-12.59,-8.9,0.79,0.04,16.96,28.05,-0.02,-5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,American Century Small Company ,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.34,0.28,2.85,30.89,0.07,-7.5,-2.08,0.19,-0.05,0.61,31.13,-0.05,-33.24,0.88,0.5,-0.05,6.36,27.6,-0.04,-9.91
1288,Invesco Global Real Estate Inco,Mid-Cap Blend,0.41986,0.0,-0.3965,0.0,0.05944,0.0,0.12485,0.0,0.11817,0.0,0.19735,0.0,0.38457,0.0,-0.16149,0.0,-0.00152,0.0,0.17077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,Invesco Global Real Estate Inco,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,Invesco Global Real Estate Inco,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,Invesco Global Real Estate Inco,Miscellaneous Sector,0.31262,-0.4582,-0.33986,0.0,0.01815,0.0,0.1485,0.0,0.0159,0.0,0.14628,0.0,0.26847,0.0,-0.1862,0.0,-0.0085,0.0,0.05371,-5.35,0.64,0.41,56.13,15.38,0.24,3.95,-4.49,0.61,0.41,43.47,13.44,0.28,4.89,-5.21,0.78,0.25,50.69,15.33,0.16,1.63
1292,"AB Cap Fund, Inc. - AB Select U",Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,-1.11,0.92,1.37,90.2,17.96,0.84,15.9,-2.75,0.93,1.13,88.68,14.77,0.84,12.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,Invesco Global Real Estate Inco,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,American Century Strategic Allo,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,1.5,0.64,86.26,28.39,0.23,1.67,-3.1,1.39,1.05,77.3,23.13,0.5,6.66,-3.41,1.35,0.42,77.81,23.02,0.19,1.36
1295,American Century Strategic Allo,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1296,American Funds Short-Term Tax-E,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,American Funds Short-Term Tax-E,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,Astor Dynamic Allocation Fund C,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,1.19,0.45,81.11,4.55,0.92,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,Astor Dynamic Allocation Fund C,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,1.01,0.41,96.76,3.59,1.06,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,Astor Macro Alternative Fund Cl,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.0,0.72,94.84,18.07,0.4,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,AllianzGl Global Sustainability,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.96,0.93,78.76,19.2,0.51,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,AllianzGl Global Sustainability,Trading--Leveraged Equity,0.6239,0.0,-0.68494,0.0,0.11247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.85,2.25,2.35,17.34,100.24,0.27,-10.2,-37.02,2.2,0.0,13.63,89.6,-0.01,-16.43,-30.86,1.38,-0.88,3.02,108.45,-0.1,-36.32
1303,Astor Dynamic Allocation Fund C,High Yield Bond,0.41327,0.0,-0.29406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1304,AllianzGl Global Sustainability,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1305,American Beacon Small Cap Value,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,1.04,2.17,92.28,20.03,1.23,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,American Century Small Cap Valu,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.88,0.96,1.12,91.02,18.7,0.64,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,American Century Small Cap Valu,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,1.09,2.06,84.84,21.96,1.06,21.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1308,Small Cap Value Fund Class G,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.56,1.16,1.19,86.52,23.21,0.56,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,American Century Small Cap Valu,Real Estate,0.24802,0.0,-0.43154,0.0,-0.11403,0.0,0.33869,0.0,0.15219,0.0,0.30096,0.0,0.40195,0.0,0.0297,0.0,0.10876,0.0,0.0,-1.59,0.94,1.07,67.29,20.61,0.56,10.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,American Century Small Cap Valu,Short-Term Bond,0.05046,0.0,0.02696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.44,0.33,56.95,2.02,1.37,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1311,AllianzGI Small-Cap Value Fund ,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,1.25,1.66,85.12,25.08,0.74,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,American Century Small Cap Valu,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,American Century Small Cap Valu,Mid-Cap Value,0.41481,0.0,-0.39308,0.0,-0.06914,0.0,0.16041,0.0,0.0797,0.0,0.19937,0.0,0.38743,0.0,-0.10024,0.0,0.07048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,Short Duration Strategic Income,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,3.73,0.9,1.47,85.6,17.46,0.93,17.9,3.3,0.9,1.39,78.43,14.68,1.05,17.41,2.84,0.94,1.06,75.78,15.22,0.8,12.32
1315,American Century Short Duration,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.77,0.99,0.98,76.32,20.39,0.51,8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,American Century Strategic Inco,Allocation--50% to 70% Equity,0.33211,0.0,-0.42351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,1.0,0.85,98.84,11.43,0.78,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317,"AB Cap Fund, Inc. - AB Select U",unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,Alger Weatherbie Specialized Gr,Europe Stock,0.45163,0.0,-0.5025,0.0,0.12364,0.0,0.3424,0.0,0.09267,0.0,0.25554,0.0,0.43609,0.0,-0.15115,0.0,-0.19222,0.0,-0.09983,0.72,0.84,0.81,87.12,15.81,0.54,9.1,-2.15,0.86,0.66,79.83,13.98,0.49,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,ATAC Rotation Fund - Investor C,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,American Trust Allegiance Fund,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2,2.76,-0.47,58.09,55.59,-0.12,-8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,Anchor Risk Managed Global Stra,Real Estate,0.24802,0.0,-0.43154,0.0,-0.11403,0.0,0.33869,0.0,0.15219,0.0,0.30096,0.0,0.40195,0.0,0.0297,0.0,0.10876,0.0,0.0,-2.93,1.09,1.14,65.87,24.24,0.51,8.89,-5.88,1.03,0.78,52.89,20.68,0.4,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,Anchor Risk Managed Municipal S,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,3.6,1.01,1.89,81.57,20.63,1.03,21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,American Century Intermediate-T,Small Blend,0.32673,0.0,-0.40663,0.0,-0.04847,0.0,0.16837,0.0,0.06375,0.0,0.20303,0.0,0.42767,0.0,-0.17621,0.0,0.04157,0.0,0.0,-3.74,1.21,1.58,73.72,26.16,0.68,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,Anchor Risk Managed Credit Stra,Mid-Cap Blend,0.41986,0.0,-0.3965,0.0,0.05944,0.0,0.12485,0.0,0.11817,0.0,0.19735,0.0,0.38457,0.0,-0.16149,0.0,-0.00152,0.0,0.17077,-7.34,1.15,1.19,93.45,22.09,0.59,9.77,-5.55,1.13,1.17,92.53,17.62,0.73,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1325,"AB Bond Fund, Inc. - AB Tax-Awa",Large Growth,0.41318,-0.39855,-0.41574,0.10083,0.09633,0.10177,0.0998,0.01916,0.02725,0.08522,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,5.09,1.06,2.1,91.13,20.66,1.16,23.0,5.94,1.06,2.04,89.21,16.85,1.38,23.06,2.84,1.08,1.57,88.94,15.62,1.17,17.13
1326,ATAC Rotation Fund - Institutio,Mid-Cap Value,0.41481,0.0,-0.39308,0.0,-0.06914,0.0,0.16041,0.0,0.0797,0.0,0.19937,0.0,0.38743,0.0,-0.10024,0.0,0.07048,0.0,0.0,-3.3,1.02,1.34,90.93,19.88,0.74,13.44,-3.18,1.01,1.21,90.05,16.01,0.83,12.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,Anchor Risk Managed Credit Stra,Mid-Cap Value,0.41481,0.0,-0.39308,0.0,-0.06914,0.0,0.16041,0.0,0.0797,0.0,0.19937,0.0,0.38743,0.0,-0.10024,0.0,0.07048,0.0,0.0,-6.73,1.26,1.41,81.04,26.04,0.6,10.33,-5.55,1.23,1.31,79.33,20.72,0.7,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,Anchor Risk Managed Equity Stra,Consumer Cyclical,0.4642,0.0,-0.39004,0.0,-0.10166,0.0,0.17716,0.0,-0.04359,0.0,0.11649,0.0,0.35013,0.0,-0.21731,0.0,0.06849,0.0,-0.16587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1329,AB Sustainable Global Thematic ,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,AB Sustainable Global Thematic ,Trading--Leveraged Equity,0.6239,0.0,-0.68494,0.0,0.11247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1331,AB Sustainable Global Thematic ,Ultrashort Bond,0.0,0.0,0.01688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,Anchor Risk Managed Equity Stra,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,AB Sustainable Global Thematic ,Small Blend,0.32673,0.0,-0.40663,0.0,-0.04847,0.0,0.16837,0.0,0.06375,0.0,0.20303,0.0,0.42767,0.0,-0.17621,0.0,0.04157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334,Invesco Limited Term Muni Inc F,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,0.09,1.02,0.82,15.03,0.73,119.11,4.91,0.11,0.52,1.11,13.26,0.39,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1335,Invesco Limited Term Muni Inc F,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,-2.23,0.86,1.19,92.11,16.69,0.78,14.46,-3.54,0.86,0.98,89.67,13.69,0.77,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336,Invesco Limited Term Muni Inc F,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.32,1.13,1.24,91.33,21.91,0.62,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337,Invesco Limited Term Municipal ,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1338,Invesco Limited Term Muni Inc F,Foreign Large Blend,0.38882,0.0,-0.44749,0.0,0.29141,0.0,0.19521,0.0,0.19425,0.0,0.19488,0.0,0.44137,0.0,-0.14519,0.0,-0.19887,0.0,0.03012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,American Century International ,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340,American Century International ,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,American Century International ,Muni National Interm,0.10729,0.0,-0.00983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342,Anchor Risk Managed Global Stra,Small Blend,0.32673,0.0,-0.40663,0.0,-0.04847,0.0,0.16837,0.0,0.06375,0.0,0.20303,0.0,0.42767,0.0,-0.17621,0.0,0.04157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1343,American Century Heritage Fd A ,Short-Term Bond,0.05046,0.0,0.02696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1344,American Century Heritage Fund ,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.82,1.18,-0.31,41.08,32.33,-0.15,-8.36,-17.62,1.13,-0.39,36.54,27.35,-0.21,-8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345,American Century Heritage Fund ,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346,American Century Heritage Fund ,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.42,0.23,3.21,1.61,28.3,1.32,169.73,32.7,0.2,2.85,0.81,28.84,1.15,165.63,18.87,0.76,1.36,13.76,28.9,0.54,16.01
